Record Creation ,Frequent Flier Number,Join Date,First Name,Last Name,Inquiry Type,Most Recent Flight #,Lounge Used?,Departing Airport,Arrival Airport,Planned Snack?,Additional Snack?,# of Included Checked Bags,Total # of Checked Bags,Flight Delayed?
2024-02-27,7234617746.0,1988-07-08,debbie,spears,2,G35206241,False,3,2,0,1,0.0,16.0,1
2021-03-07,7234617746.0,1988-07-08,debbie,Spears,3,V81311927,True,4,9,0,1,1.0,21.0,0
2023-01-31,7234617746.0,,debbie,spears,0,H82295055,False,6,7,0,0,7.0,5.0,1
2021-08-21,551121699.0,,kyle,Boone,3,E39886834,True,10,11,0,1,0.0,8.0,0
2022-03-01,551121699.0,,KYLE,Boone,3,R04390271,False,9,3,0,0,3.0,17.0,0
2022-08-30,551121699.0,2022-06-16,KYLE,boone,2,R17922982,False,9,5,1,1,,16.0,0
2022-10-25,551121699.0,,KYLE,Boone,0,Q79735097,True,6,0,0,1,4.0,15.0,0
2023-10-14,551121699.0,,kyle,Boone,1,C90731620,True,7,9,0,0,3.0,15.0,1
2023-05-13,8148422695.0,,JANET,cooper,2,A90359849,False,8,1,1,0,0.0,7.0,1
2022-10-18,8148422695.0,,,Cooper,1,M18536063,False,3,5,1,0,9.0,10.0,1
2022-01-09,8148422695.0,,JANET,Cooper,1,I09090121,False,4,9,1,0,3.0,12.0,1
2023-09-29,8148422695.0,,JANET,cooper,0,V29958355,False,5,10,0,0,,,1
2024-09-04,8148422695.0,,,Cooper,2,L67741141,False,1,2,0,0,4.0,14.0,1
2021-11-07,8148422695.0,1992-07-19,,Cooper,1,F68885820,False,8,7,0,0,13.0,14.0,1
2024-09-16,8148422695.0,,JANET,Cooper,1,Y89652120,True,7,8,1,0,,6.0,0
2023-04-13,8148422695.0,,janet,cooper,3,Q67525506,False,2,9,0,1,0.0,10.0,0
2023-05-25,Unknown,,JANET,cooper,2,O52688958,True,5,11,1,1,,1.0,1
2023-06-10,8148422695.0,,,Cooper,3,A98904253,True,9,2,0,0,12.0,23.0,1
2024-04-18,3414172587.0,,abigail,dean,1,L53709933,True,7,5,0,0,2.0,17.0,1
2022-09-28,3414172587.0,1995-11-01,abigail,Dean,3,H22497580,True,0,5,1,0,0.0,10.0,0
2024-04-14,3414172587.0,1995-11-01,abigail,dean,1,U71809652,True,10,8,2,1,2.0,10.0,0
2024-03-10,5259235142.0,,RICHARD,munoz,3,T80934864,False,1,0,0,0,0.0,9.0,0
2024-02-11,5259235142.0,2009-02-23,richard,Munoz,3,Y35174035,False,4,5,0,1,,12.0,1
2024-06-17,5259235142.0,,RICHARD,,1,R34871976,True,1,7,1,0,0.0,24.0,1
2022-08-22,5259235142.0,,RICHARD,munoz,1,V57982944,False,7,2,0,1,10.0,3.0,1
2024-01-05,5259235142.0,,RICHARD,Munoz,3,E58601983,True,3,1,0,1,2.0,3.0,0
2021-08-12,5259235142.0,,RICHARD,munoz,2,L84281320,False,0,9,0,1,1.0,21.0,0
2024-08-25,5259235142.0,,RICHARD,munoz,0,J93214307,True,8,3,0,0,0.0,9.0,0
2022-11-21,5259235142.0,,RICHARD,Munoz,2,L42517739,True,4,7,0,1,0.0,21.0,1
2021-11-06,5259235142.0,,RICHARD,Munoz,1,O53230530,True,8,2,0,0,0.0,4.0,1
2022-01-10,5259235142.0,2009-02-23,richard,munoz,2,Q58855294,True,4,8,0,1,3.0,15.0,1
2024-06-12,1631888987.0,2016-07-18,jennifer,miller,3,L17701292,True,5,0,0,1,,2.0,0
2024-07-07,1631888987.0,,JENNIFER,Miller,2,R24574060,False,8,1,1,0,,,0
2021-06-12,1631888987.0,2016-07-18,JENNIFER,Miller,3,O20379952,False,7,11,0,1,,12.0,1
2024-08-10,1631888987.0,,JENNIFER,Miller,1,Q69217831,False,7,4,0,0,0.0,6.0,1
2024-03-24,Unknown,,jennifer,Miller,2,O40343660,True,2,9,1,1,0.0,13.0,1
2024-09-08,4892826664.0,2006-08-16,MEREDITH,dunn,2,H35015800,True,9,0,0,1,1.0,24.0,1
2022-03-25,4892826664.0,,meredith,dunn,2,P09187719,False,9,0,1,0,,,0
2022-10-27,4892826664.0,,MEREDITH,Dunn,0,U95487821,False,5,2,1,0,11.0,8.0,1
2024-03-20,5688379797.0,1998-08-26,LAURA,Mccoy,2,Z99865994,False,8,4,0,0,0.0,8.0,0
2024-07-24,5688379797.0,,LAURA,Mccoy,3,T25121318,False,6,11,0,1,1.0,18.0,1
2024-06-23,5688379797.0,,laura,Mccoy,3,V90314095,True,7,9,0,1,,16.0,1
2024-02-03,5688379797.0,1998-08-26,laura,Mccoy,3,X55734963,False,1,0,1,2,,24.0,1
2024-06-07,5688379797.0,,LAURA,mccoy,2,Y17645697,False,3,2,0,1,3.0,8.0,0
2022-07-07,720393375.0,,SANDRA,Harper,2,K38990125,False,10,6,1,1,0.0,14.0,0
2023-04-16,720393375.0,,sandra,harper,0,B31735941,False,7,6,0,0,12.0,6.0,0
2022-04-08,720393375.0,,SANDRA,harper,3,H36792964,True,3,0,0,2,12.0,22.0,0
2023-09-11,10806849.0,1998-05-28,MANUEL,Morales,3,V54669925,False,11,6,0,0,,1.0,1
2021-08-07,10806849.0,1998-05-28,manuel,Morales,2,A69683768,False,1,6,0,1,2.0,16.0,1
2021-09-19,10806849.0,1998-05-28,manuel,Morales,1,F25928056,False,5,10,2,1,2.0,3.0,1
2021-11-25,5930073768.0,2019-06-28,SARAH,Tran,1,U32540313,True,2,10,0,1,0.0,7.0,1
2023-10-18,5930073768.0,,sarah,tran,0,X81794050,True,5,1,1,0,,8.0,0
2021-09-19,5930073768.0,,sarah,tran,2,R68716705,False,4,7,1,0,9.0,15.0,0
2022-11-02,5930073768.0,2019-06-28,sarah,tran,4,K08441419,True,0,7,0,1,8.0,4.0,1
2023-11-16,5930073768.0,2019-06-28,sarah,Tran,3,P34731536,False,4,2,1,1,4.0,7.0,1
2022-09-03,5101312032.0,2005-10-31,angel,moore,0,C24489016,False,5,11,1,1,3.0,3.0,1
2021-10-10,5101312032.0,,angel,Moore,4,M23687765,False,8,2,1,1,9.0,,0
2024-04-24,5101312032.0,2005-10-31,ANGEL,Moore,3,A62150307,False,0,5,1,0,,5.0,1
2024-06-22,5101312032.0,,angel,moore,2,X76417067,False,6,7,1,1,11.0,12.0,1
2022-10-11,5101312032.0,,ANGEL,moore,3,D63145504,True,2,1,1,1,4.0,,1
2021-01-12,6049318919.0,,samantha,mcintyre,1,G75468959,False,1,6,1,1,0.0,10.0,0
2024-09-19,6049318919.0,,SAMANTHA,Mcintyre,3,I09744293,True,0,7,2,0,0.0,6.0,0
2024-08-16,6049318919.0,,SAMANTHA,Mcintyre,1,M80082593,True,8,10,0,1,0.0,3.0,0
2023-09-17,6049318919.0,,SAMANTHA,mcintyre,1,X45928259,True,8,0,1,1,,5.0,1
2024-02-23,6049318919.0,2009-02-20,SAMANTHA,Mcintyre,4,T11603624,False,5,3,1,0,4.0,5.0,0
2024-10-15,638947621.0,1988-05-18,madeline,Rowe,3,J03173619,False,4,0,1,1,0.0,7.0,0
2024-08-13,638947621.0,,MADELINE,rowe,4,E20805231,False,4,3,1,2,0.0,12.0,0
2021-07-13,638947621.0,,MADELINE,Rowe,3,F09557816,False,8,1,2,1,9.0,5.0,0
2022-11-27,638947621.0,,madeline,Rowe,1,T22454039,True,8,5,1,1,0.0,5.0,0
2022-08-31,638947621.0,,MADELINE,Rowe,3,X27641920,False,6,0,2,1,0.0,23.0,0
